Cluster,Keio gene name,EcoGene Essentiality: Escherichia coli BW25113,Ancestral Essentiality,PastML Ancestral Essentiality,Core Essentiality,Conserved in Symbiont Genomes,TraDIS Essentiality: Klebsiella pneumoniae Ecl8,TraDIS Essentiality: Klebsiella pneumoniae RH201207,TraDIS Essentiality: Escherichia coli ST131 EC958,TraDIS Essentiality: Escherichia coli UPEC ST131 NCTC13441,TraDIS Essentiality: Escherichia coli BW25113,TraDIS Essentiality: Citrobacter rodentium ICC168,TraDIS Essentiality: Salmonella Typhi Ty2,TraDIS Essentiality: Salmonella Typhimurium A130,TraDIS Essentiality: Salmonella Typhimurium D23580,TraDIS Essentiality: Salmonella Typhimurium SL3261,TraDIS Essentiality: Salmonella Typhimurium SL1344,TraDIS Essentiality: Salmonella Enteritidis P125109,Locus: Klebsiella pneumoniae Ecl8,Locus: Klebsiella pneumoniae RH201207,Locus: Escherichia coli ST131 EC958,Locus: Escherichia coli UPEC ST131 NCTC13441,Locus: Escherichia coli BW25113 (Keio),Locus: Escherichia coli BW25113,Locus: Citrobacter rodentium ICC168,Locus: Salmonella Typhi Ty2,Locus: Salmonella Typhimurium A130,Locus: Salmonella Typhimurium D23580,Locus: Salmonella Typhimurium SL3261,Locus: Salmonella Typhimurium SL1344,Locus: Salmonella Enteritidis P125109,Locus: Secondary endosymbiont of Ctenarytaina eucalypti,Locus: Candidatus Moranella endobia PCIT,Locus: Secondary endosymbiont of Heteropsylla cubana,Locus: Candidatus Baumannia cicadellinicola strain BGSS,Locus: Candidatus Baumannia cicadellinicola strain B-GSS,Locus: Baumannia cicadellinicola str. Hc (Homalodisca coagulata),Locus: Blochmannia endosymbiont of Camponotus (Colobopsis) obliquus strain 757,Locus: Blochmannia endosymbiont of Polyrhachis (Hedomyrma) turneri strain 675,Locus: Candidatus Blochmannia vafer str. BVAF,Locus: Candidatus Blochmannia floridanus,Locus: Candidatus Blochmannia pennsylvanicus str. BPEN,Locus: Candidatus Blochmannia chromaiodes str. 640,Locus: Wigglesworthia glossinidia endosymbiont of Glossina brevipalpis,Locus: Wigglesworthia glossinidia endosymbiont of Glossina morsitans morsitans,Locus: Buchnera aphidicola str. Sg (Schizaphis graminum),Locus: Buchnera aphidicola str. G002 (Myzus persicae),Locus: Buchnera aphidicola str. USDA (Myzus persicae),Locus: Buchnera aphidicola str. F009 (Myzus persicae),Locus: Buchnera aphidicola str. W106 (Myzus persicae),Locus: Buchnera aphidicola str. Ak (Acyrthosiphon kondoi),Locus: Buchnera aphidicola str. APS (Acyrthosiphon pisum),Locus: Buchnera aphidicola str. Tuc7 (Acyrthosiphon pisum),Locus: Buchnera aphidicola str. LL01 (Acyrthosiphon pisum),Locus: Buchnera aphidicola str. TLW03 (Acyrthosiphon pisum),Locus: Buchnera aphidicola str. JF98 (Acyrthosiphon pisum),Locus: Buchnera aphidicola str. JF99 (Acyrthosiphon pisum),Locus: Buchnera aphidicola str. 5A (Acyrthosiphon pisum),Locus: Buchnera aphidicola str. Ua (Uroleucon ambrosiae),Locus: Buchnera aphidicola str. Bp (Baizongia pistaciae),Locus: Buchnera aphidicola BCc,Locus: Buchnera aphidicola (Cinara tujafilina),Locus: Sodalis glossinidius str. morsitans,Locus: Sodalis praecaptivus strain HS1,Locus: Candidatus Sodalis pierantonius str. SOPE
Clust10,uvrB,0,0,0,0,0,2.996868123,2.949422922,3.313184126,3.129658548,3.242156047,2.61039859,3.064461072,3.192883488,2.542062359,3.375132331,3.132425479,2.367188313,BN373_13681,ERS227112_03239,EC958_0891,NCTC13441_03215,b0779,BW25113_0779,ROD_07801,t2089,STM_MW08501,STMMW_08501,SL3261_0775,SL1344_0775,SEN0744,A359_00970,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,SG0907,Sant_2730,SOPEG_0502
Clust11,lepA,0,0,0,0,1,2.904100017,1.930583991,2.537509197,2.158008878,2.695541353,3.759796627,2.329909779,2.239354015,3.155037182,3.135876389,2.891515524,2.810272633,BN373_35521,ERS227112_00019,EC958_2875,NCTC13441_01170,b2569,BW25113_2569,ROD_25151,t0274,STM_MW25991,STMMW_25991,SL3261_2545,SL1344_2545,SEN2563,A359_07740,MEPCIT_001,A35E_00150,IM45_648,AB162_230,BCI_0283,BOBLI757_549,BTURN675_540,BVAF_544,Bfl542,BPEN_562,BCHRO640_577,BA000021_193,WIGMOR_0591,BUsg_251,BUMPG002_CDS00337,BUMPUSDA_CDS00336,BUMPF009_CDS00336,BUMPW106_CDS00336,BAKON_262,BA000003_241,BUAPTUC7_257,CWO_01360,CWQ_01385,CWU_01705,CWS_01355,BUAP5A_255,BUAMB_242,bbp_241,BCc_165,BCTU_170,SG1789,Sant_1096,SOPEG_3140
Clust12,gyrA,1,1,1,1,0,-2.766303337,-6.5,-3.219565016,-6.5,-6.5,-6.5,-6.5,-6.5,-2.917329277,-6.5,-3.09727473,-0.924738387,BN373_32511,ERS227112_03939,EC958_2567,NCTC13441_01477,b2231,BW25113_2231,ROD_23531,t0592,STM_MW22961,STMMW_22961,SL3261_2241,SL1344_2241,SEN2254,A359_01270,MEPCIT_450,A35E_00275,IM45_871,AB162_336,BCI_0387,BOBLI757_481,BTURN675_470,BVAF_477,Bfl476,BPEN_492,BCHRO640_507,BA000021_444,WIGMOR_0315,BUsg_174,BUMPG002_CDS00416,BUMPUSDA_CDS00414,BUMPF009_CDS00415,BUMPW106_CDS00415,BAKON_180,BA000003_168,BUAPTUC7_178,CWO_00920,CWQ_00965,NA,CWS_00945,BUAP5A_177,BUAMB_168,bbp_169,BCc_116,BCTU_120,SG1582,Sant_1369,SOPEG_2812
Clust13,typA,0,0,0,0,0,4.117024846,3.325056012,3.231247564,3.212132324,3.05226649,3.506034447,2.846448937,2.925356209,3.240254005,3.320195307,3.24295267,2.954616297,BN373_48111,ERS227112_00404,EC958_4349,NCTC13441_22added,b3871,BW25113_3871,ROD_38901,t3613,STM_MW39731,STMMW_39731,SL3261_3955,SL1344_3955,SEN3796,A359_02650,MEPCIT_366,A35E_00611,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,BUsg_418,BUMPG002_CDS00166,BUMPUSDA_CDS00166,BUMPF009_CDS00166,BUMPW106_CDS00166,BAKON_436,BA000003_402,BUAPTUC7_427,CWO_02275,CWQ_02315,NA,CWS_02260,BUAP5A_426,BUAMB_408,bbp_384,BCc_267,BCTU_281,SG2229,Sant_4074,SOPEG_3349
Clust14,gyrB,1,1,1,1,1,-3.585961597,-6.5,-6.5,-6.5,-6.5,-2.399429175,-4.129452427,-6.5,-2.440701334,-5.048227255,-5.088581724,-1.836457464,BN373_47461,ERS227112_00473,EC958_4172,NCTC13441_04817,b3699,BW25113_3699,ROD_40281,t3684,STM_MW38201,STMMW_38201,SL3261_3802,SL1344_3802,SEN3652,A359_00030,MEPCIT_019,A35E_00569,IM45_305,AB162_108,BCI_0131,BOBLI757_017,BTURN675_018,BVAF_016,Bfl017,BPEN_016,BCHRO640_016,BA000021_15,WIGMOR_0018,BUsg_010,BUMPG002_CDS00577,BUMPUSDA_CDS00575,BUMPF009_CDS00576,BUMPW106_CDS00576,BAKON_010,BA000003_9,BUAPTUC7_010,CWO_00050,CWQ_00055,CWU_00050,CWS_00050,BUAP5A_010,BUAMB_010,bbp_010,BCc_002,BCTU_002,SG0004,Sant_0080,SOPEG_4127
Clust15,nrdE,0,0,0,0,0,3.150582499,2.958331307,3.168354288,3.230168923,2.644548604,2.407619303,2.75036964,2.472161361,2.511984244,3.097857124,2.97853006,2.47737921,BN373_36441,ERS227112_01656,EC958_2940,NCTC13441_01104,b2675,BW25113_2675,ROD_31331,t2704,STM_MW27741,STMMW_27741,SL3261_2792,SL1344_2792,SEN2652,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Sant_0949,NA
Clust16,gnd,0,0,0,0,0,4.066534933,3.673228684,2.140565181,3.32845416,2.876753365,4.057255227,3.301034668,1.946953135,2.750117585,3.008096442,2.47997574,2.393866032,BN373_31041,ERS227112_04084,EC958_2370,NCTC13441_01683,b2029,BW25113_2029,ROD_21671,t0792,STM_MW21121,STMMW_21121,SL3261_2058,SL1344_2058,SEN2080,A359_02330,NA,A35E_00352,IM45_890,AB162_347,BCI_0397,BOBLI757_475,BTURN675_464,BVAF_471,Bfl470,BPEN_485,BCHRO640_500,NA,NA,BUsg_100,BUMPG002_CDS00489,BUMPUSDA_CDS00487,BUMPF009_CDS00488,BUMPW106_CDS00488,BAKON_106,BA000003_97,BUAPTUC7_106,CWO_00520,CWQ_00560,NA,CWS_00540,BUAP5A_105,BUAMB_102,bbp_101,BCc_071,BCTU_072,SG1122,Sant_1474,SOPEG_1960
Clust17,secA,1,1,1,1,0,-3.391033267,-6.5,-4.941392696,-3.319489499,-6.5,-2.401167409,-4.423028523,-3.305225402,-2.551870892,-4.685939031,-4.79644157,-1.309256373,BN373_05911,ERS227112_02438A,EC958_0239,NCTC13441_15added,b0098,BW25113_0098,ROD_01041,t0140,STM_MW01421,STMMW_01421,SL3261_0136,SL1344_0136,SEN0137,A359_03480,MEPCIT_224,A35E_00387,IM45_1127,AB162_460,NA,BOBLI757_148,BTURN675_142,BVAF_149,Bfl148,BPEN_152,BCHRO640_153,BA000021_199,WIGMOR_0585,BUsg_195,BUMPG002_CDS00394,BUMPUSDA_CDS00393,BUMPF009_CDS00393,BUMPW106_CDS00394,BAKON_202,BA000003_189,BUAPTUC7_200,CWO_01025,CWQ_01080,CWU_01295,CWS_01055,BUAP5A_198,BUAMB_187,bbp_187,BCc_130,BCTU_134,SG0457,Sant_3344,SOPEG_2059
Clust18,dnaK,0,1,0,0,1,0.954588385,-3.715046364,2.042737132,-0.517950524,-0.788659399,-3.645133172,-3.094020109,-1.53071373,-1.049879761,-0.919906003,0.975881115,0.419914348,BN373_04961,ERS227112_02349,EC958_0146,NCTC13441_03979,b0014,BW25113_0014,ROD_00101,t0012,STM_MW00111,STMMW_00111,SL3261_0012,SL1344_0012,SEN0011,A359_05380,MEPCIT_085,A35E_00125,IM45_1217,AB162_499,BCI_0552,BOBLI757_115,BTURN675_109,BVAF_115,Bfl114,BPEN_118,BCHRO640_119,BA000021_298,WIGMOR_0478,BUsg_146,BUMPG002_CDS00443,BUMPUSDA_CDS00441,BUMPF009_CDS00442,BUMPW106_CDS00442,BAKON_152,BA000003_142,BUAPTUC7_152,CWO_00775,CWQ_00815,CWU_00995,CWS_00800,BUAP5A_151,BUAMB_141,bbp_142,BCc_096,BCTU_100,SG0409,Sant_3402,SOPEG_1363
Clust20,tktA,0,0,0,0,1,2.865019561,2.373676062,2.272489161,1.342171097,2.761434841,2.891375596,-2.671331584,1.712887279,2.599305603,2.380893441,2.972886141,2.110303349,BN373_40211,ERS227112_01308,EC958_3220,NCTC13441_00816,b2935,BW25113_2935,ROD_50511,t2996,STM_MW30371,STMMW_30371,SL3261_3052,SL1344_3052,SEN2919,A359_03860,MEPCIT_281,A35E_00113,IM45_183,AB162_058,BCI_0075,BOBLI757_520,BTURN675_512,BVAF_516,Bfl516,BPEN_533,BCHRO640_548,BA000021_581,WIGMOR_0165,BUsg_086,BUMPG002_CDS00502,BUMPUSDA_CDS00500,BUMPF009_CDS00501,BUMPW106_CDS00501,BAKON_093,BA000003_84,BUAPTUC7_093,CWO_00445,CWQ_00475,CWU_00575,CWS_00460,BUAP5A_092,BUAMB_089,bbp_088,BCc_058,BCTU_059,SG1715,Sant_1225,SOPEG_2991
Clust21,tktB,0,0,0,0,0,3.089100669,2.787858608,3.232111614,3.180601413,1.642153308,3.141449968,2.903846776,3.303532025,2.883424432,3.502786524,3.447681306,2.531543639,BN373_34581,ERS227112_03780,EC958_2781,NCTC13441_01265,b2465,BW25113_2465,ROD_24131,t0385,STM_MW24931,STMMW_24931,SL3261_2437,SL1344_2437,SEN2453,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Sant_0709,NA
Clust22,NA,0,0,0,0,0,3.945948664,NA,3.369195603,3.818706539,NA,3.063871081,NA,NA,NA,NA,NA,NA,BN373_17411,NA,EC958_4295,NCTC13441_04686,NA,NA,ROD_50601,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Clust23,groL,1,1,1,1,1,-6.5,-6.5,-6.5,-6.5,-6.5,-2.432385985,-3.784848489,-6.5,-2.029472496,-6.5,-4.241021666,-1.528944044,BN373_01451,ERS227112_02009,EC958_4632,NCTC13441_04312,b4143,BW25113_4143,ROD_32061,t4382,STM_MW42791,STMMW_42791,SL3261_4267,SL1344_4267,SEN4100,A359_06090,MEPCIT_416,A35E_00172,IM45_1295,AB162_538,BCI_0591,BOBLI757_072,BTURN675_067,BVAF_071,Bfl071,BPEN_073,BCHRO640_072,BA000021_257,WIGMOR_0521,BUsg_019,BUMPG002_CDS00569,BUMPUSDA_CDS00567,BUMPF009_CDS00568,BUMPW106_CDS00568,BAKON_019,BA000003_17,BUAPTUC7_019,CWO_00090,CWQ_00095,CWU_00105,CWS_00095,BUAP5A_019,BUAMB_019,bbp_021,BCc_011,BCTU_011,SG0306,Sant_3550,SOPEG_0732
Clust24,NA,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,SOPEG_1086
Clust25,pnp,0,0,0,0,0,3.433274991,2.688477556,2.810777807,2.298304282,-2.018974939,3.151743582,3.016394963,2.266177811,2.993188408,2.862783771,2.965652667,2.746798634,BN373_42241,ERS227112_01029,EC958_3566,NCTC13441_00531,b3164,BW25113_3164,ROD_46681,t3200,STM_MW32821,STMMW_32821,SL3261_3255,SL1344_3255,SEN3117,A359_05180,MEPCIT_310,A35E_00600,IM45_1375,AB162_572,BCI_0627,BOBLI757_109,BTURN675_104,BVAF_109,Bfl108,BPEN_112,BCHRO640_113,BA000021_221,WIGMOR_0564,BUsg_361,BUMPG002_CDS00224,BUMPUSDA_CDS00223,BUMPF009_CDS00223,BUMPW106_CDS00223,BAKON_376,BA000003_348,BUAPTUC7_367,CWO_01970,CWQ_02015,NA,CWS_01960,BUAP5A_366,BUAMB_349,bbp_336,BCc_227,BCTU_242,SG0381,Sant_3449,SOPEG_1269
Clust26,cyoB,0,0,0,0,0,3.65648993,3.501991734,2.880269566,3.205885242,3.435901996,3.314886917,2.457959419,3.129479691,3.090883986,3.286269286,3.172701229,2.838328329,BN373_08821,ERS227112_02744,EC958_0569,NCTC13441_03548,b0431,BW25113_0431,ROD_04861,t2418,STM_MW05131,STMMW_05131,SL3261_0436,SL1344_0436,SEN0424,A359_09010,NA,NA,IM45_617,AB162_218,BCI_0268,BOBLI757_244,BTURN675_233,BVAF_245,Bfl244,BPEN_251,BCHRO640_254,BA000021_147,WIGMOR_0635,BUsg_455,BUMPG002_CDS00129,BUMPUSDA_CDS00129,BUMPF009_CDS00129,BUMPW106_CDS00129,BAKON_474,BA000003_439,BUAPTUC7_465,CWO_02490,CWQ_02530,NA,CWS_02455,BUAP5A_464,BUAMB_445,bbp_416,BCc_290,BCTU_304,SG0666,Sant_3006,SOPEG_ps4011
Clust27,guaA,0,0,0,0,0,2.930181503,0.634280595,1.693847822,2.261162739,-6.5,3.009924216,2.339562239,0.201930147,2.310709805,2.618824203,1.594112638,1.299690044,BN373_34931,ERS227112_00079,EC958_2814,NCTC13441_01232,b2507,BW25113_2507,ROD_24481,t0347,STM_MW25271,STMMW_25271,SL3261_2471,SL1344_2471,SEN2490,A359_07980,NA,A35E_00181,IM45_1427,AB162_598,BCI_0650,BOBLI757_530,BTURN675_523,BVAF_528,Bfl527,BPEN_546,BCHRO640_560,BA000021_605,WIGMOR_0673,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,SG1748,Sant_1153,SOPEG_3080
Clust28,tufB,0,0,0,0,0,4.181855835,3.276230159,3.531722128,2.565884469,3.068396015,3.431484485,2.249232237,3.628964814,3.965929905,3.839892318,3.831473896,3.337280651,BN373_43611,ERS227112_01827,EC958_5091,NCTC13441_04516,b3980,BW25113_3980,ROD_37731,t3481,STM_MW34371,STMMW_34371,SL3261_3412,SL1344_3412,SEN3273,A359_04070,MEPCIT_438,A35E_00448,IM45_1091,AB162_441,BCI_0495,BOBLI757_571,BTURN675_563,BVAF_566,Bfl564,BPEN_584,BCHRO640_600,BA000021_514,WIGMOR_0236,BUsg_507,BUMPG002_CDS00077,BUMPUSDA_CDS00077,BUMPF009_CDS00077,BUMPW106_CDS00077,BAKON_531,BA000003_490,BUAPTUC7_520,CWO_02775,NA,CWU_03410,CWS_02720,BUAP5A_519,BUAMB_501,bbp_469,BCc_343,BCTU_354,SG0127,Sant_0419,SOPEG_0236
