gene,essential,gene_ori,gene_left,gene_right,median_coding,median_template,mad_coding,mad_template,coding,template,operon
dnaN,TRUE,-,3879244,3880344,-7.620229654,-0.586826699,1.054297432,0.257017106,3,9,dnaAN-recF
tyrS,TRUE,-,1713972,1715246,-7.617906391,-0.178047766,0,0.277787647,1,7,pdxH-tyrS-pdxY
rplX,TRUE,-,3445475,3445789,-7.606654682,-2.028120242,0,2.001347858,1,2,rplNXE-rpsNH-rplFR-rpsE-rpmD-rplO-secY-rpmJ
rpsL,TRUE,-,3472200,3472574,-7.570390005,-2.373734407,1.601087265,0,3,1,rpsLG-fusA-tufA
gyrA,TRUE,-,2334815,2337442,-7.555711612,-0.552898037,1.879627943,0.276935791,15,15,gyrA
kdsC,FALSE,+,3340295,3340861,-7.551827277,-0.649704835,0.872272986,0.049010817,2,3,yrbG-kdsDC-lptCAB-rpoN-hpf-ptsN-rapZ-npr
rpsQ,FALSE,-,3446336,3446590,-7.517202799,NA,0.547422415,NA,2,0,rpsJ-rplCDWB-rpsS-rplV-rpsC-rplP-rpmC-rpsQ
ddlB,FALSE,+,102233,103153,-7.508211707,-1.618248262,0.538946222,1.177775429,8,13,mraZ-rsmH-ftsLI-murEF-mraY-murD-ftsW-murGC-ddlB-ftsQAZ-lpxC
yejL,FALSE,+,2282151,2282378,-7.473943587,-7.857113669,0.383192682,3.509700141,2,3,yejLM
murI,TRUE,+,4163451,4164308,-7.47310238,-0.259617987,0.768514242,0.407798164,3,8,btuB-murI
ispU,TRUE,+,194903,195664,-7.458903186,-0.267039904,0.428218181,0.248269159,3,5,ispU
ftsH,TRUE,-,3323023,3324957,-7.405093025,-0.506249761,1.799159231,0.447924627,15,22,rlmE-ftsH
skp,FALSE,+,200482,200967,-7.390866368,-0.46098626,1.4793793,0,2,1,bamA-skp-lpxD-fabZ-lpxAB-rnhB-dnaE
murF,TRUE,+,94650,96008,-7.380423142,-0.286337639,2.012663322,0.478296173,13,8,mraZ-rsmH-ftsLI-murEF-mraY-murD-ftsW-murGC-ddlB-ftsQAZ-lpxC
fusA,TRUE,-,3469422,3471536,-7.374227781,-0.751680829,0.773282253,0.285639985,5,18,rpsLG-fusA-tufA
glnU,FALSE,-,696088,696162,-7.373268297,-0.378287406,0,0,1,1,metT-leuW-glnUW-metU-glnVX
lpxB,TRUE,+,203348,204496,-7.35383935,-0.657846946,1.429483277,0.195584564,5,5,bamA-skp-lpxD-fabZ-lpxAB-rnhB-dnaE
rpsG,TRUE,-,3471564,3472103,-7.340040686,-0.835851668,1.472608419,0.030073147,7,2,rpsLG-fusA-tufA
thrS,TRUE,-,1798666,1800594,-7.314738993,-0.65497806,1.30039429,0.62419353,14,10,thrS-infC-rpmI-rplT-pheMST-ihfA
trpS,TRUE,-,3510656,3511660,-7.282535821,-0.23674106,1.451300102,0.218825767,10,4,aroKB-damX-dam-rpe-gph-trpS
trmD,TRUE,-,2742594,2743361,-7.273161175,-0.411938006,0.828000109,0.718546443,6,9,rpsP-rimM-trmD-rplS
hisS,TRUE,-,2637323,2638597,-7.268758297,-0.436300441,1.733137471,0.451502374,10,12,hisS
mraY,TRUE,+,96002,97084,-7.260625948,-0.602921408,1.295300303,0.476369338,3,10,mraZ-rsmH-ftsLI-murEF-mraY-murD-ftsW-murGC-ddlB-ftsQAZ-lpxC
rpoA,TRUE,-,3438062,3439051,-7.250935816,-0.842412781,1.464075488,0.298402943,2,7,rpsMKD-rpoA-rplQ
alaS,TRUE,-,2817403,2820033,-7.236930388,-2.270650053,1.144223735,1.642239443,13,15,alaS
dnaG,TRUE,+,3209129,3210874,-7.184622915,-0.569360801,0.985104004,0.416278775,13,8,rpsU-dnaG-rpoD
rplB,TRUE,-,3448565,3449386,-7.179477165,-0.618356056,1.131069414,0.365801208,9,6,rpsJ-rplCDWB-rpsS-rplV-rpsC-rplP-rpmC-rpsQ
rimM,FALSE,-,2743392,2743940,-7.170457289,-0.79186807,1.0622877,0.366791583,4,7,rpsP-rimM-trmD-rplS
ftsQ,TRUE,+,103155,103985,-7.167173004,-5.232926711,0.804213389,3.610455646,3,4,mraZ-rsmH-ftsLI-murEF-mraY-murD-ftsW-murGC-ddlB-ftsQAZ-lpxC
argS,TRUE,+,1958086,1959819,-7.159465502,-0.471248799,1.203103982,0.51345772,10,14,argS
leuS,TRUE,-,671424,674006,-7.128991527,-0.501307777,1.065787888,0.626176934,22,23,leuS-lptE-holA-nadD-cobC
rpsO,FALSE,-,3309437,3309706,-7.116099656,NA,0.738327805,NA,3,0,metY-rimP-nusA-infB-rbfA-truB-rpsO-pnp
orn,TRUE,+,4389627,4390172,-7.093953491,-0.468844073,0.373452421,0.471074666,2,5,orn
lptC,TRUE,+,3340858,3341433,-7.086348922,-3.943868462,1.979565106,0.967527526,3,2,yrbG-kdsDC-lptCAB-rpoN-hpf-ptsN-rapZ-npr
ileS,TRUE,+,22391,25207,-7.06795503,-1.496227978,0.775372659,1.526445735,18,21,ribF-ileS-lspA-fkpB-ispH
metG,TRUE,+,2192322,2194355,-7.012886878,-0.451226456,1.343571451,0.353025444,11,18,metG
secG,FALSE,-,3320195,3320527,-6.968376025,-0.736031533,2.55919872,0.248793412,1,3,secG-leuU
dnaT,FALSE,-,4599001,4599540,-6.950833186,-0.780289338,0.506785085,0.87285659,3,3,yjjB-dnaTC-yjjA
waaA,TRUE,+,3806563,3807840,-6.948188555,-0.756242936,1.765259348,0.383741985,9,9,waaA-coaD
zipA,TRUE,-,2528269,2529255,-6.941958411,-0.370462422,1.146141316,0.596957009,5,5,zipA
lptD,TRUE,-,54755,57109,-6.935776173,-0.311111495,2.194155515,0.216732406,12,16,lptD-surA-pdxA-rsmA-apaGH
murE,TRUE,+,93166,94653,-6.900511787,-0.392421019,1.186038463,0.921677854,8,15,mraZ-rsmH-ftsLI-murEF-mraY-murD-ftsW-murGC-ddlB-ftsQAZ-lpxC
tsf,TRUE,+,190857,191708,-6.882902733,-0.644127367,0.097141022,0.372450772,2,4,tff-rpsB-tsf
rplQ,TRUE,-,3437638,3438021,-6.878270967,NA,0.222109057,NA,2,0,rpsMKD-rpoA-rplQ
rimP,FALSE,-,3315576,3316028,-6.86745454,NA,2.20178768,NA,3,0,metY-rimP-nusA-infB-rbfA-truB-rpsO-pnp
rsmH,FALSE,+,90094,91035,-6.860131984,-0.326961099,0.616412544,0.45753307,5,8,mraZ-rsmH-ftsLI-murEF-mraY-murD-ftsW-murGC-ddlB-ftsQAZ-lpxC
rplN,TRUE,-,3445800,3446171,-6.838518795,-0.88499226,0,0.873799615,1,3,rplNXE-rpsNH-rplFR-rpsE-rpmD-rplO-secY-rpmJ
murG,TRUE,+,99644,100711,-6.828407856,-0.663551388,1.475612197,0.785483543,5,10,mraZ-rsmH-ftsLI-murEF-mraY-murD-ftsW-murGC-ddlB-ftsQAZ-lpxC
yidC,TRUE,+,3883099,3884745,-6.826428925,-0.737489602,1.202465436,0.519732035,8,12,yidC
lolB,TRUE,-,1262100,1262723,-6.776829014,-2.796831301,1.863377558,0,7,1,lolB-ispE-prs
csrA,TRUE,-,2816983,2817168,-6.77052048,-1.473668088,1.054916413,0.324835733,4,3,csrA
rpsM,FALSE,-,3440137,3440493,-6.759040351,-1.364608768,0.851780067,0.720572,4,2,rpsMKD-rpoA-rplQ
lptG,TRUE,+,4485341,4486423,-6.754318043,-0.359265419,2.032113782,0.453051265,10,5,lptFG
cysS,TRUE,+,553834,555219,-6.743185753,-0.447694394,0.864789082,0.32048402,9,12,cysS
prs,TRUE,-,1260151,1261098,-6.697917826,-0.38978389,1.550988965,0.14461168,8,6,lolB-ispE-prs
glnS,TRUE,+,705316,706980,-6.684560291,-0.534212319,1.153480255,0.334643994,11,13,glnS
adk,TRUE,+,496399,497043,-6.66407564,-1.165769354,2.166988877,1.214873296,4,5,adk
dnaB,TRUE,+,4262337,4263752,-6.660276981,-0.377927167,0.831045825,0.268543544,12,10,dnaB
murB,TRUE,+,4170080,4171108,-6.659692293,-0.236000441,0.837173023,0.373228115,4,6,murB-birA
ftsI,TRUE,+,91413,93179,-6.646518896,-0.285043403,1.100312221,0.30755164,7,19,mraZ-rsmH-ftsLI-murEF-mraY-murD-ftsW-murGC-ddlB-ftsQAZ-lpxC
lolD,TRUE,+,1175842,1176543,-6.645065376,-0.460456905,0.719747368,0.255189616,4,5,lolCDE
dxs,TRUE,-,437539,439401,-6.617845416,-0.393527803,1.689227547,0.235760288,11,15,xseB-ispA-dxs-yajO
gyrB,TRUE,-,3875728,3878142,-6.61633466,-0.318988466,1.796626692,0.218017665,13,13,gyrB
holB,TRUE,+,1154985,1155989,-6.615222712,-0.201181817,1.912899515,0.154402802,2,9,pabC-mltG-tmk-holB-ycfH
prfB,TRUE,-,3033206,3034304,-6.580885213,-1.315199329,0.868123544,1.49603109,12,7,xerD-dsbC-recJ-prfB-lysS
murD,TRUE,+,97087,98403,-6.572167922,-0.338408087,1.366355798,0.328149561,6,11,mraZ-rsmH-ftsLI-murEF-mraY-murD-ftsW-murGC-ddlB-ftsQAZ-lpxC
pheS,TRUE,-,1795983,1796966,-6.551724816,-0.60328364,1.736562989,0.376854546,9,3,thrS-infC-rpmI-rplT-pheMST-ihfA
rpsU,TRUE,+,3208803,3209018,-6.544092419,NA,2.2332052,NA,1,0,rpsU-dnaG-rpoD
murC,TRUE,+,100765,102240,-6.531846186,-0.259075882,1.593425851,0.445527093,10,13,mraZ-rsmH-ftsLI-murEF-mraY-murD-ftsW-murGC-ddlB-ftsQAZ-lpxC
ispH,TRUE,+,26277,27227,-6.517786271,-0.505239513,0,0.06436223,1,5,ribF-ileS-lspA-fkpB-ispH
lgt,TRUE,-,2963184,2964059,-6.463132694,-0.240101989,2.274614004,0.23151989,8,16,lgt-thyA
rplR,TRUE,-,3443266,3443619,-6.40835797,-0.812651695,0.410688911,0.129998903,3,5,rplNXE-rpsNH-rplFR-rpsE-rpmD-rplO-secY-rpmJ
asnS,TRUE,-,986808,988208,-6.408258332,-0.626181272,1.272099881,0.413501347,11,12,asnS
proM,FALSE,+,3980758,3980834,-6.396710516,NA,0,NA,1,0,argX-hisR-leuT-proM
ftsB,TRUE,-,2870531,2870842,-6.365732118,-0.150351987,3.129162618,0.001585158,1,3,ftsB
fabI,TRUE,-,1348275,1349063,-6.354068347,-0.607417619,1.106950032,0.345707409,2,4,fabI
valS,TRUE,-,4479005,4481860,-6.350040839,-0.677875177,1.326423394,0.690020409,17,20,holC-valS
ribF,TRUE,+,21407,22348,-6.344752514,-0.785424152,0.91825082,0.739129844,6,6,ribF-ileS-lspA-fkpB-ispH
fabZ,TRUE,+,202101,202556,-6.327115066,-1.622357909,3.556551778,1.894032141,2,2,bamA-skp-lpxD-fabZ-lpxAB-rnhB-dnaE
kdsB,TRUE,+,970075,970821,-6.296757407,-0.318026837,0.811605425,0.207204412,4,4,ycaR-kdsB
rplI,FALSE,+,4424131,4424580,-6.284972775,-0.294294474,0.149144561,0.603701781,3,5,rpsF-priB-rpsR-rplI
ftsL,TRUE,+,91032,91397,-6.267004986,-0.23771568,0.277239408,0.077441791,2,3,mraZ-rsmH-ftsLI-murEF-mraY-murD-ftsW-murGC-ddlB-ftsQAZ-lpxC
rpsC,TRUE,-,3447204,3447905,-6.265360506,-0.597846729,0.200805952,0.204037349,3,2,rpsJ-rplCDWB-rpsS-rplV-rpsC-rplP-rpmC-rpsQ
rplY,FALSE,+,2280539,2280823,-6.172479188,NA,3.808837606,NA,2,0,rplY
hemA,TRUE,+,1262937,1264193,-6.169557803,-0.244247257,0.664422646,0.105238008,4,7,hemA-prfA-prmC
dnaX,TRUE,+,491316,493247,-6.167738463,-0.979906009,0.897605585,1.27168589,13,9,dnaX
ftsY,TRUE,-,3600773,3602266,-6.152606018,-0.306981486,1.31750005,0.417510566,8,19,ftsYEX
rfaD,FALSE,+,3792010,3792942,-6.084568405,-0.546589579,0.584834882,0.3882352,7,13,rfaD-waaFCL
rnpB,FALSE,-,3268238,3268614,-6.082945049,-0.639533422,0,0.413571367,1,7,garPLRK-rnpB
infB,TRUE,-,3311364,3314036,-6.0822002,-1.049317535,1.208145918,0.646185225,14,15,metY-rimP-nusA-infB-rbfA-truB-rpsO-pnp
nusG,TRUE,+,4175766,4176311,-6.072145862,-0.735520574,0.878006118,0,6,1,secE-nusG
ispE,TRUE,-,1261249,1262100,-6.015098331,-0.703453202,0.18575762,0.865025851,2,5,lolB-ispE-prs
rsfS,FALSE,-,667942,668259,-6.005225634,-1.51786934,0,1.567142581,1,2,rsfS-rlmH-mrdAB-rlpA
rpmE,FALSE,+,4125036,4125248,-5.945999547,NA,0.649992526,NA,2,0,rpmE
rplA,FALSE,+,4176902,4177606,-5.92389839,-0.307221178,1.735807826,0.388897442,3,7,rplKAJL-rpoBC
ubiB,TRUE,+,4018249,4019889,-5.901020043,-1.282178303,0.803028407,0.594114255,11,12,ubiEJB
lpxH,TRUE,-,552441,553163,-5.897213217,-0.295360841,0,0.208539227,1,8,ppiB-lpxH
holA,TRUE,-,669797,670828,-5.896544233,-0.68405975,0.966740505,0.298003897,6,5,leuS-lptE-holA-nadD-cobC
proS,TRUE,-,217057,218775,-5.881105621,-0.32852318,1.776143623,0.401895248,9,8,proS
secM,TRUE,+,107705,108217,-5.832039894,-0.644809545,0.825347041,0.510582578,4,3,secMA-mutT
rpsA,TRUE,+,961218,962891,-5.829708731,-0.506232536,1.308119596,0.168493404,12,9,cmk-rpsA-ihfB
dnaK,FALSE,+,12163,14079,-5.827110875,-0.340756182,1.070745364,0.287003328,10,8,dnaK-tpke11-dnaJ
yejM,TRUE,+,2282398,2284158,-5.81693849,-3.238812323,2.258969553,4.231136594,13,13,yejLM
acpP,TRUE,+,1150838,1151074,-5.780709528,NA,0,NA,1,0,yceD-rpmF-plsX-fabHDG-acpP-fabF
serT,FALSE,-,1030848,1030935,-5.763777788,NA,0,NA,1,0,serT
pheT,TRUE,-,1793581,1795968,-5.71597318,-0.533035163,1.871409958,0.367715033,19,14,thrS-infC-rpmI-rplT-pheMST-ihfA
yrfF,TRUE,+,3524491,3526626,-5.695585896,-0.471326284,0.728331193,0.452902703,14,12,yrfF
plsC,TRUE,-,3160766,3161503,-5.670605747,0.274043806,2.656813178,0,5,1,plsC
dnaA,TRUE,-,3880349,3881752,-5.663483099,-0.732001018,2.329292716,0.51277929,11,12,dnaAN-recF
prfA,TRUE,+,1264235,1265317,-5.631667873,-0.330242289,0.46252424,0.400021993,7,6,hemA-prfA-prmC
era,TRUE,-,2700503,2701408,-5.616400495,-0.437372806,0.486314712,0.410593902,4,8,rnc-era-recO-pdxJ-acpS
ffs,FALSE,+,475672,475785,-5.547993508,-0.456411509,1.06007959,0,3,1,ffs
nadD,TRUE,-,669154,669795,-5.520829844,-0.114381252,0.561860417,0.046667762,2,3,leuS-lptE-holA-nadD-cobC
dicA,TRUE,+,1645958,1646365,-5.512668118,-0.705620128,1.040575885,0.44646383,3,3,dicA
folA,TRUE,+,49823,50302,-5.504061642,-0.360088902,1.795111601,0.216894918,7,4,folA
pnp,FALSE,-,3307055,3309190,-5.49826626,-0.664381275,1.026210859,0.464610155,18,16,metY-rimP-nusA-infB-rbfA-truB-rpsO-pnp
metK,TRUE,+,3084728,3085882,-5.492114002,-0.443910032,1.6977035,0.097379405,6,2,metK
rpoC,TRUE,+,4183373,4187596,-5.488758226,-0.511305127,1.4617649,0.463090419,17,35,rplKAJL-rpoBC
dfp,TRUE,+,3810754,3811974,-5.473638371,-0.498001828,0.306024908,0.209944783,11,4,dfp
waaF,FALSE,+,3792952,3793998,-5.43967253,-0.835295027,0.845714245,0.81582867,4,9,rfaD-waaFCL
acpS,TRUE,-,2698640,2699020,-5.431171244,-0.242362762,0,0.022346137,1,3,rnc-era-recO-pdxJ-acpS
rfaE,FALSE,-,3193342,3194775,-5.401516942,-0.469277305,0.922635036,0.316904058,10,17,rfaE
accB,TRUE,+,3403458,3403928,-5.39729614,-0.48574973,0.508852204,0.073351871,2,2,accBC
eno,TRUE,-,2904665,2905963,-5.383194297,-0.471277759,2.297458045,0.298754548,5,11,pyrG-eno
fkpB,FALSE,+,25826,26275,-5.368945332,-0.602540624,0.012335237,0.641816346,2,4,ribF-ileS-lspA-fkpB-ispH
frr,TRUE,+,192872,193429,-5.362183994,-0.541845806,0.233790615,0,2,1,frr
thyA,FALSE,-,2962383,2963177,-5.356891448,-0.62700824,0.807750228,0.397435996,5,7,lgt-thyA
secE,TRUE,+,4175381,4175764,-5.350959428,-0.406445297,1.068065022,0.657043189,2,5,secE-nusG
pyrH,TRUE,+,191855,192580,-5.332615563,-0.637848316,1.183345372,0.558097951,5,9,pyrH
kdsD,FALSE,+,3339288,3340274,-5.323520787,-1.20726737,1.14769131,0.931700835,6,7,yrbG-kdsDC-lptCAB-rpoN-hpf-ptsN-rapZ-npr
rpsT,FALSE,-,20815,21078,-5.321726446,-0.754613405,0,0,1,1,rpsT
nrdA,TRUE,+,2342887,2345172,-5.31294677,-0.207266422,1.043263318,0.407811365,19,11,nrdAB-yfaE
lpxK,TRUE,+,967589,968575,-5.293365671,-0.450969348,0.629814963,0.308818857,9,7,ycaI-msbA-lpxK-ycaQ
mnmA,FALSE,-,1191890,1192996,-5.284456851,-0.438434701,1.205873377,0.33432812,6,9,mnmA
cydA,TRUE,+,770681,772249,-5.25642443,-0.508512633,0.573050792,0.224470801,7,14,cydAB
cydB,FALSE,+,772265,773404,-5.22409581,-0.32694659,0.187921183,0.113492854,9,9,cydAB
secA,TRUE,+,108279,110984,-5.200698242,-0.449584387,1.859601936,0.367822821,13,17,secMA-mutT
rpoZ,FALSE,+,3820129,3820404,-5.194869729,-0.366196178,1.135242258,0.188303766,2,4,rpoZ-spoT-trmH-recG
ffh,TRUE,-,2744456,2745817,-5.14964361,-0.224036986,0.530868923,0.154311,6,11,ffh
fabD,TRUE,+,1148951,1149880,-5.125054484,-0.197651603,1.489227546,0.338612864,4,11,yceD-rpmF-plsX-fabHDG-acpP-fabF
mukE,TRUE,+,974872,975549,-5.119625986,-0.473660893,0.332807386,0.224263199,3,5,cmoM-mukFEB
bamA,TRUE,+,197928,200360,-5.106570675,-0.448270881,1.226349185,0.600238016,16,22,bamA-skp-lpxD-fabZ-lpxAB-rnhB-dnaE
ubiE,FALSE,+,4016878,4017633,-5.09656474,-0.877152864,0.276310716,0.733848421,5,3,ubiEJB
rpoD,TRUE,+,3211069,3212910,-5.084698706,-0.71654128,1.445265594,0.323120223,12,14,rpsU-dnaG-rpoD
fabB,TRUE,-,2438407,2439627,-5.083486657,-0.430956177,1.614306857,0.437886354,8,11,fabB
yihA,TRUE,-,4048156,4048752,-5.079255326,-0.510830029,0.454442724,0.664904717,2,5,yihA
nadK,TRUE,+,2748853,2749731,-5.037012859,-0.337818888,1.815520421,0.101458965,10,5,nadK
thrU,FALSE,+,4173411,4173486,-5.035528467,NA,0,NA,1,0,thrU-tyrU-glyT-thrT-tufB
rlmE,FALSE,-,3325057,3325686,-5.035139754,-0.312195828,0.842216213,0.367419434,4,5,rlmE-ftsH
yfaZ,FALSE,-,2361755,2362297,-5.020185667,-0.326448071,1.371408237,0.063500916,1,6,yfaZ
parC,TRUE,-,3161737,3163995,-4.964067065,-0.343538005,1.457838007,0.355782813,12,17,parC
obgE,TRUE,-,3328604,3329776,-4.957543009,-0.54053402,1.71984049,0.324495422,4,14,rplU-rpmA-yhbE-obgE
mreB,TRUE,-,3398066,3399109,-4.917600373,-0.529970684,1.178401943,0.33434154,5,8,mreBCD
leuW,FALSE,-,696186,696270,-4.913599866,NA,0,NA,1,0,metT-leuW-glnUW-metU-glnVX
